Imp_Value,Importer,Product,Exporter,Trade_Year,Duty_Type,Simple_Avg_Tariff,GDP_Importer,GDP_Exporter,Distance,NTB_Importer,NTB_Exporter,CPTPP_TC,CPTPP_TD1,CPTPP_TD2,IMP_1,IMP_2,IMP_3,IMP_4,IMP_5,IMP_6,IMP_7,IMP_8,IMP_9,IMP_10,IMP_11,IMP_12,EXP_1,EXP_2,EXP_3,EXP_4,EXP_5,EXP_6,EXP_7,EXP_8,EXP_9,EXP_10,EXP_11,EXP_12,LL,Log_Imports,Log_GDP_Imp,Log_GDP_Exp,Log_Dist,Log_NTB_Imp,Log_NTB_Exp,Log_Tariff,COB
255,Mexico,OAP - Animal products nec,Australia,2018,MFN,7.22,1222408203,1428529571,14359,1,3.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.40654018,9.087216256,9.154889235,4.157124196,0,0.5440680444,0.8585371976,0
11607.494,Mexico,OAP - Animal products nec,Canada,2018,MFN,8.28,1222408203,1725329193,3604,1,4.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.064738468,9.087216256,9.236871971,3.556784782,0,0.6232492904,0.9180303368,0
1534.645,Mexico,OAP - Animal products nec,Chile,2018,MFN,7.22,1222408203,295402652,7353,1,1.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.186007929,9.087216256,8.47041439,3.866464566,0,0.1139433523,0.8585371976,0
0.001,Mexico,OAP - Animal products nec,Japan,2018,MFN,12.5,1222408203,5037835383,10791,1,3.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3,9.087216256,9.702243972,4.033061693,0,0.5185139399,1.096910013,0
0.099,Mexico,OAP - Animal products nec,New Zealand,2018,MFN,15,1222408203,211953111,11103,1,2.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.004364805,9.087216256,8.326239795,4.04544034,0,0.3979400087,1.176091259,0
1652.304,Mexico,OAP - Animal products nec,Peru,2018,MFN,5.21,1222408203,222597212.9,4708,1,1.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.218089954,9.087216256,8.347519722,3.672836454,0,0.1461280357,0.7168377233,0
0.169,Mexico,OAP - Animal products nec,Singapore,2018,MFN,15,1222408203,376998146.5,16024,1,2.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.7721132954,9.087216256,8.576339215,4.204770936,0,0.414973348,1.176091259,0
2.949,Mexico,OAP - Animal products nec,Vietnam,2018,MFN,14.17,1222408203,308702086.8,14639,1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4696747726,9.087216256,8.489539565,4.165511411,0,0.6989700043,1.15136985,0
19785.827,Mexico,"ELE - Computer, electronic and optical products",Australia,2018,MFN,1.4,1222408203,1428529571,14359,1,3.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.296354207,9.087216256,9.154889235,4.157124196,0,0.5440680444,0.1461280357,0
21.238,Mexico,"ELE - Computer, electronic and optical products",Brunei,2018,MFN,1.29,1222408203,13567351.18,14893,1,2.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.327113616,9.087216256,7.132495067,4.17298219,0,0.3802112417,0.1105897103,0
537713.431,Mexico,"ELE - Computer, electronic and optical products",Canada,2018,MFN,1.71,1222408203,1725329193,3604,1,4.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.730550884,9.087216256,9.236871971,3.556784782,0,0.6232492904,0.2329961104,0
2219.688,Mexico,"ELE - Computer, electronic and optical products",Chile,2018,MFN,1.39,1222408203,295402652,7353,1,1.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.346291934,9.087216256,8.47041439,3.866464566,0,0.1139433523,0.1430148003,0
144257.848,Mexico,"ELE - Computer, electronic and optical products",India,2018,MFN,1.75,1222408203,2702929719,15108,1,4.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.159139449,9.087216256,9.431834753,4.179206976,0,0.69019608,0.2430380487,0
2845141.881,Mexico,"ELE - Computer, electronic and optical products",Japan,2018,MFN,1.71,1222408203,5037835383,10791,1,3.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.454103929,9.087216256,9.702243972,4.033061693,0,0.5185139399,0.2329961104,0
7883265.126,Mexico,"ELE - Computer, electronic and optical products",Malaysia,2018,MFN,1.84,1222408203,358791513.2,15924,1,2.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.896706133,9.087216256,8.554842162,4.202052169,0,0.3802112417,0.264817823,0
6628.749,Mexico,"ELE - Computer, electronic and optical products",New Zealand,2018,MFN,1.13,1222408203,211953111,11103,1,2.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.821431575,9.087216256,8.326239795,4.04544034,0,0.3979400087,0.05307844348,0
215.439,Mexico,"ELE - Computer, electronic and optical products",Peru,2018,MFN,1.3,1222408203,222597212.9,4708,1,1.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.333324325,9.087216256,8.347519722,3.672836454,0,0.1461280357,0.1139433523,0
945192.286,Mexico,"ELE - Computer, electronic and optical products",Singapore,2018,MFN,1.37,1222408203,376998146.5,16024,1,2.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.975520169,9.087216256,8.576339215,4.204770936,0,0.414973348,0.1367205672,0
2304484.893,Mexico,"ELE - Computer, electronic and optical products",Vietnam,2018,MFN,1.68,1222408203,308702086.8,14639,1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.362573865,9.087216256,8.489539565,4.165511411,0,0.6989700043,0.2253092817,0
4550.936,Mexico,MVH - Motor vehicles and parts,Australia,2018,MFN,5.48,1222408203,1428529571,14359,1,3.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.658100728,9.087216256,9.154889235,4.157124196,0,0.5440680444,0.7387805585,0
0.335,Mexico,MVH - Motor vehicles and parts,Brunei,2018,MFN,1.22,1222408203,13567351.18,14893,1,2.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.474955193,9.087216256,7.132495067,4.17298219,0,0.3802112417,0.08635983067,0
1836147.837,Mexico,MVH - Motor vehicles and parts,Canada,2018,MFN,10.23,1222408203,1725329193,3604,1,4.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.263907645,9.087216256,9.236871971,3.556784782,0,0.6232492904,1.009875634,0
