"Selected Nomen","Native Nomen","Reporter","Reporter Name","Product","Product Name","Partner","Partner Name","Tariff Year","Trade Year","DutyType","Simple Average","Imports Value in 1000 USD"
"GP","H4","484","Mexico","10","OAP - Animal products nec","036","Australia",2018,2018,"MFN",7.22,255.007
"GP","H4","484","Mexico","10","OAP - Animal products nec","124","Canada",2018,2018,"MFN",8.28,11607.494
"GP","H4","484","Mexico","10","OAP - Animal products nec","152","Chile",2018,2018,"MFN",7.22,1534.645
"GP","H4","484","Mexico","10","OAP - Animal products nec","392","Japan",2018,2018,"MFN",12.5,0.001
"GP","H4","484","Mexico","10","OAP - Animal products nec","554","New Zealand",2018,2018,"MFN",15,0.099
"GP","H4","484","Mexico","10","OAP - Animal products nec","604","Peru",2018,2018,"MFN",5.21,1652.304
"GP","H4","484","Mexico","10","OAP - Animal products nec","702","Singapore",2018,2018,"MFN",15,0.169
"GP","H4","484","Mexico","10","OAP - Animal products nec","704","Vietnam",2018,2018,"MFN",14.17,2.949
"GP","H4","484","Mexico","40","ELE - Computer, electronic and optical products","036","Australia",2018,2018,"MFN",1.4,19785.827
"GP","H4","484","Mexico","40","ELE - Computer, electronic and optical products","096","Brunei",2018,2018,"MFN",1.29,21.238
"GP","H4","484","Mexico","40","ELE - Computer, electronic and optical products","124","Canada",2018,2018,"MFN",1.71,537713.431
"GP","H4","484","Mexico","40","ELE - Computer, electronic and optical products","152","Chile",2018,2018,"MFN",1.39,2219.688
"GP","H4","484","Mexico","40","ELE - Computer, electronic and optical products","356","India",2018,2018,"MFN",1.75,144257.848
"GP","H4","484","Mexico","40","ELE - Computer, electronic and optical products","392","Japan",2018,2018,"MFN",1.71,2845141.881
"GP","H4","484","Mexico","40","ELE - Computer, electronic and optical products","458","Malaysia",2018,2018,"MFN",1.84,7883265.126
"GP","H4","484","Mexico","40","ELE - Computer, electronic and optical products","554","New Zealand",2018,2018,"MFN",1.13,6628.749
"GP","H4","484","Mexico","40","ELE - Computer, electronic and optical products","604","Peru",2018,2018,"MFN",1.3,215.439
"GP","H4","484","Mexico","40","ELE - Computer, electronic and optical products","702","Singapore",2018,2018,"MFN",1.37,945192.286
"GP","H4","484","Mexico","40","ELE - Computer, electronic and optical products","704","Vietnam",2018,2018,"MFN",1.68,2304484.893
"GP","H4","484","Mexico","43","MVH - Motor vehicles and parts","036","Australia",2018,2018,"MFN",5.48,4550.936
"GP","H4","484","Mexico","43","MVH - Motor vehicles and parts","096","Brunei",2018,2018,"MFN",1.22,0.335
"GP","H4","484","Mexico","43","MVH - Motor vehicles and parts","124","Canada",2018,2018,"MFN",10.23,1836147.837
