Imp_Value,Importer,Product,Exporter,Trade_Year,Duty_Type,Simple_Avg_Tariff,GDP_Importer,GDP_Exporter,Distance,NTB_Importer,NTB_Exporter,CPTPP_TC,CPTPP_TD1,CPTPP_TD2,IMP_1,IMP_2,IMP_3,IMP_4,IMP_5,IMP_6,IMP_7,IMP_8,IMP_9,IMP_10,IMP_11,IMP_12,EXP_1,EXP_2,EXP_3,EXP_4,EXP_5,EXP_6,EXP_7,EXP_8,EXP_9,EXP_10,EXP_11,EXP_12,LL,COB
255,Mexico,OAP - Animal products nec,Australia,2018,MFN,7.22,1222408203,1428529571,14359,1,3.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11607.494,Mexico,OAP - Animal products nec,Canada,2018,MFN,8.28,1222408203,1725329193,3604,1,4.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1534.645,Mexico,OAP - Animal products nec,Chile,2018,MFN,7.22,1222408203,295402652,7353,1,1.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.001,Mexico,OAP - Animal products nec,Japan,2018,MFN,12.5,1222408203,5037835383,10791,1,3.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.099,Mexico,OAP - Animal products nec,New Zealand,2018,MFN,15,1222408203,211953111,11103,1,2.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1652.304,Mexico,OAP - Animal products nec,Peru,2018,MFN,5.21,1222408203,222597212.9,4708,1,1.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.169,Mexico,OAP - Animal products nec,Singapore,2018,MFN,15,1222408203,376998146.5,16024,1,2.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2.949,Mexico,OAP - Animal products nec,Vietnam,2018,MFN,14.17,1222408203,308702086.8,14639,1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,Mexico,OAP - Animal products nec,India,2018,MFN,0,1222408203,2702929719,15108,1,4.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,Mexico,OAP - Animal products nec,Malaysia,2018,MFN,0,1222408203,358791513.2,15924,1,2.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
